name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =21945/2687504,UBOLT,X 111080mm Y -1162mm Z 30740mm,X 111080mm Y -1162mm Z 30740mm,X 111080mm Y -1162mm Z 30740mm,X7-512-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111041+-1182.5+30683.7+111119+-1142.5+30770.1,,,
 =21945/2687525,UBOLT,X 111080mm Y -2842mm Z 30740mm,X 111080mm Y -2842mm Z 30740mm,X 111080mm Y -2842mm Z 30740mm,X7-512-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111041+-2862.5+30683.7+111119+-2822.5+30770.1,,,
 =21945/2687533,UBOLT,X 111080mm Y -4842mm Z 30740mm,X 111080mm Y -4842mm Z 30740mm,X 111080mm Y -4842mm Z 30740mm,X7-512-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111041+-4862.5+30683.7+111119+-4822.5+30770.1,,,
 =21945/2687535,UBOLT,X 111080mm Y -6842mm Z 30740mm,X 111080mm Y -6842mm Z 30740mm,X 111080mm Y -6842mm Z 30740mm,X7-512-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111041+-6862.5+30683.7+111119+-6822.5+30770.1,,,
 =21945/820165,TEE,X 111080mm Y -7036mm Z 30740mm,X 111080mm Y -7074mm Z 30740mm,X 111080mm Y -6998mm Z 30740mm,X7-512-25A_005/B1,33.4,3.38,   1.000   0.000   0.000,,X 111080mm Y -7036mm Z 30778mm,33.4,3.38,,0.79,111063.2+-7074.3+30723.2+111096.8+-6998.1+30778.1,,,A312_TP304L
 =30137/1702764,TUBI,X 111080mm Y -7368mm Z 30740mm,X 111080mm Y -7074mm Z 30740mm,X 111080mm Y -7662mm Z 30740mm,X7-512-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,1.4855,111063.3+-7661.9+30723.3+111096.7+-7074.3+30756.7,,,A312_TP304L
 =21945/820012,ELBO,X 111080mm Y -7700mm Z 30740mm,X 111042mm Y -7700mm Z 30740mm,X 111080mm Y -7662mm Z 30740mm,X7-512-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,X 111069mm Y -7689mm Z 30740mm,,0,0,,0.15,111041.9+-7716.8+30723.2+111096.8+-7661.9+30756.8,,,A312_TP304L
 =30137/1702766,TUBI,X 110910mm Y -7700mm Z 30740mm,X 111042mm Y -7700mm Z 30740mm,X 110778mm Y -7700mm Z 30740mm,X7-512-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,0.6669,110778.1+-7716.7+30723.3+111041.9+-7683.3+30756.7,,,A312_TP304L
 =21945/820134,ELBO,X 110740mm Y -7700mm Z 30740mm,X 110740mm Y -7700mm Z 30778mm,X 110778mm Y -7700mm Z 30740mm,X7-512-25A_005/B1,33.4,3.38,   0.000  -1.000   0.000,X 110751mm Y -7700mm Z 30751mm,,0,0,,0.15,110723.2+-7716.8+30723.2+110778.1+-7683.2+30778.1,,,A312_TP304L
 =21945/2582723,TUBI,X 110740mm Y -7700mm Z 30865mm,X 110740mm Y -7700mm Z 30778mm,X 110740mm Y -7700mm Z 30953mm,X7-512-25A_005/B1,33.4,3.38,   0.000  -1.000   0.000,,,0,0,,0.4415,110723.3+-7716.7+30778.1+110756.7+-7683.3+30952.8,,,A312_TP304L
